id,submissionLink,submitters,emails,isVideo
18,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,../../../../../../../../../../../etc/hosts,true
19,᠎,-1E02,﻿,true
20,(｡◕ ∀ ◕｡),nil,␡,false
21,ÅÍÎÏ˝ÓÔÒÚÆ☃,-1E+02,,false
22,-1/2,-1.00,部落格,false
23,␣,<script>alert('hi')</script>,",./;'[]\-=",true
24,パーティーへ行かないか,åß∂ƒ©˙∆˚¬…æ,パーティーへ行かないか,true
25,‫test‫, ,œ∑´®†¥¨ˆøπ“‘,false
26,"'""'", ,"<>?:""{}|_+",false
27,(｡◕ ∀ ◕｡),null,0/0,false
28,!@#$%^&*(),̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,"""'""'""''''""",false
29,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,¸˛Ç◊ı˜Â¯˘¿,0/0,false
30,œ∑´®†¥¨ˆøπ“‘,₀₁₂,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,false
31,0.00,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,部落格,true
32,・(￣∀￣)・:*:,NIL,"""'""'""''''""",false
33,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",<svg><script>0<1>alert('XSS')</script>,"'""'",true
34,᠎,../../../../../../../../../../../etc/hosts,ÅÍÎÏ˝ÓÔÒÚÆ☃,false
35,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.","ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",åß∂ƒ©˙∆˚¬…æ,false
36,-1E2,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,",./;'[]\-=",false
37,﻿,😍,'',true
38,¸˛Ç◊ı˜Â¯˘¿,␣,␢,false
39,../../../../../../../../../../../etc/hosts,1'; DROP TABLE users--,１２３,false
40,田中さんにあげて下さい,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,',true
41,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",,울란바토르,false
42,사회과학원 어학연구소,0.00,NIL,true
43,울란바토르,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,👩🏽,false
44,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,᠎,-1,true
45,・(￣∀￣)・:*:,울란바토르,<script>alert('hi')</script>,false
46,-1/2,　,null,true
47,1'; DROP TABLE users--,1E+02,",./;'[]\-=",false
48,1;DROP TABLE users,",./;'[]\-=",ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,false
49,"'""'",1.00,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",true
50,｀ｨ(´∀｀∩,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,1;DROP TABLE users,false
51,"__ﾛ(,_,*)",1,1/0,true
52,1'; DROP TABLE users--,　,울란바토르,true
53,和製漢語,⁦test⁧,",./;'[]\-=",false
54,⁰⁴⁵₀₁₂,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,"""""",false
55,"""""",␢,1,false
56,(╯°□°）╯︵ ┻━┻)  ,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,nil,true
57,Ω≈ç√∫˜µ≤≥÷,åß∂ƒ©˙∆˚¬…æ,1,false
58,',ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,部落格,false
59,'',Œ„´‰ˇÁ¨ˆØ∏”’,-1/2,false
60,$1.00,田中さんにあげて下さい,⁰⁴⁵,true
61,"<>?:""{}|_+",　,-1E+02,true
62,1/0, ,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,true
63,הָיְתָהtestالصفحات التّحول,() { 0; }; touch /tmp/blns.shellshock1.fail;,1E2,true
64,åß∂ƒ©˙∆˚¬…æ,1E2,👩🏽,true
65,⁦test⁧,-1E+02,"""'""'""''''""",true
66,和製漢語,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,‪‪test‪,false
67,<script>alert('hi')</script>,הָיְתָהtestالصفحات التّحول,"""''''""'""",true
68,`⁄€‹›ﬁﬂ‡°·‚—±,(╯°□°）╯︵ ┻━┻)  ,NULL,false
69,١٢٣,<img src=x onerror=alert('hi') />,␢,true
70,1'; DROP TABLE users--,"""""",‪‪test‪,true
71,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ","ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",true
72,-1E+02,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,false
73,¡™£¢∞§¶•ªº–≠,test⁠test‫, ,true
74,1/0,␡,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,true
75,test⁠test‫, ,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,true
76,部落格,"""'""'""''''""",̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,false
77,-1,-1,"'""'",false
78,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,0/0,"""""",false
79,⁰⁴⁵₀₁₂,田中さんにあげて下さい,null,true
80,0.00,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,１２３,false
81,-1E2,１２３,1;DROP TABLE users,true
82,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,1'; DROP TABLE users--,⁰⁴⁵,false
83,₀₁₂,$1.00,0.00,false
84,¡™£¢∞§¶•ªº–≠,NULL,₀₁₂,false
85,Œ„´‰ˇÁ¨ˆØ∏”’,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,-1.00,false
86,-1E+02,null,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,false
87,-1E02,1;DROP TABLE users,⁰⁴⁵₀₁₂,true
88,1E02,"""",`⁄€‹›ﬁﬂ‡°·‚—±,true
89,-1E2,﻿,() { 0; }; touch /tmp/blns.shellshock1.fail;,true
90,｀ｨ(´∀｀∩,"'""'",test⁠test‫,true
91,１２３,1E02,部落格,false
92,-1E2,😍,Ω≈ç√∫˜µ≤≥÷,false
93,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,nil,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",true
94,",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",-1E02,1,false
95,',-1.00,１２３,true
96,・(￣∀￣)・:*:,田中さんにあげて下さい,(╯°□°）╯︵ ┻━┻)  ,false
97,',00˙Ɩ$-,‪‪test‪,true
98,1E02,1.00,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,true
99,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,和製漢語,-1E+02,false
100,0.00,"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",₀₁₂,false
101,⁦test⁧,🐵 🙈 🙉 🙊,👩🏽,false
102,nil,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",¡™£¢∞§¶•ªº–≠,true
103,",./;'[]\-=",ÅÍÎÏ˝ÓÔÒÚÆ☃,⁰⁴⁵,false
104,-1/2,test⁠test‫,・(￣∀￣)・:*:,false
105,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,👩🏽,",./;'[]\-=",false
106,,⁰⁴⁵,‪‪test‪,false
107,␣,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.","ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",true
108,₀₁₂,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,',true
109,`⁄€‹›ﬁﬂ‡°·‚—±,(｡◕ ∀ ◕｡),田中さんにあげて下さい,true
110,$1.00,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,false
111,1/2,울란바토르,הָיְתָהtestالصفحات التّحول,true
112,0/0,␣,../../../../../../../../../../../etc/hosts,false
113,-1.00,0.00, test ,true
114,NIL,1E+02,¸˛Ç◊ı˜Â¯˘¿,true
115,"""""",",./;'[]\-=",1/0,true
116,　,・(￣∀￣)・:*:,00˙Ɩ$-,false
117,␢,-1E02,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,false
118,œ∑´®†¥¨ˆøπ“‘,¡™£¢∞§¶•ªº–≠,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },true
119,사회과학원 어학연구소,울란바토르,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,true
120,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,../../../../../../../../../../../etc/hosts,true
121,"""""",test⁠test‫,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,false
122,🐵 🙈 🙉 🙊,"""''''""'""",｀ｨ(´∀｀∩,true
123,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,",./;'[]\-=",(╯°□°）╯︵ ┻━┻)  ,false
124,"""",和製漢語,1;DROP TABLE users,false
125,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,﻿,١٢٣,true
126,-$1.00,␢,1.00,true
127,パーティーへ行かないか,הָיְתָהtestالصفحات التّحول,사회과학원 어학연구소,true
128,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Œ„´‰ˇÁ¨ˆØ∏”’,false
129,1E+02,1'; DROP TABLE users--,"""",false
130,nil,åß∂ƒ©˙∆˚¬…æ,../../../../../../../../../../../etc/passwd%00,false
131,-1,(╯°□°）╯︵ ┻━┻)  ,(╯°□°）╯︵ ┻━┻)  ,true
132,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,'',false
133,0.00,הָיְתָהtestالصفحات التّحول,和製漢語,false
134,,00˙Ɩ$-,社會科學院語學研究所,false
135,Œ„´‰ˇÁ¨ˆØ∏”’,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,true
136,١٢٣,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,‪‪test‪,true
137,１２３,"""",ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,false
138,␡,הָיְתָהtestالصفحات التّحول,1/2,true
139,Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,NULL,␡,true
140,åß∂ƒ©˙∆˚¬…æ,0.00,1'; DROP TABLE users--,true
141,-1/2,パーティーへ行かないか,"__ﾛ(,_,*)",true
142,᠎,｀ｨ(´∀｀∩, test ,true
143,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,　,NIL,true
144,"""""",0/0,<img src=x onerror=alert('hi') />,false
145,1/2,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,ÅÍÎÏ˝ÓÔÒÚÆ☃,true
146, ,᠎,﻿,false
147,$1.00,和製漢語,../../../../../../../../../../../etc/passwd%00,true
148,/dev/null; touch /tmp/blns.fail ; echo,åß∂ƒ©˙∆˚¬…æ,-1E+02,false
149,١٢٣,"""'""'""''''""",‫test‫,true
150,$1.00,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",NULL,false
151,<script>alert('hi')</script>,",./;'[]\-=",1'; DROP TABLE users--,false
152,1;DROP TABLE users,../../../../../../../../../../../etc/passwd%00,・(￣∀￣)・:*:,true
153,和製漢語,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,../../../../../../../../../../../etc/passwd%00,false
